,query,NF,preference_type,MOO_method,zoo,trial,comp_time,work,output_flag
84,"[['frisbee'], ['cat', 'toaster', 'boat'], ['zebra'], ['cup']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,99.82800483703613,0.015562108076611354,2
85,"[['cow', 'carrot'], ['banana', 'backpack'], ['surfboard', 'airplane']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,100.02470016479492,0.015171422736089086,2
86,"[['skis', 'cat', 'bird'], ['horse', 'truck'], ['bed']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,121.53029441833496,0.01607496726768807,2
87,"[['bicycle'], ['donut', 'baseball_bat'], ['elephant'], ['apple'], ['bus']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,101.97615623474121,0.015561618284483164,2
88,"[['sports_ball', 'kite', 'pizza'], ['umbrella'], ['suitcase', 'skateboard']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,89.11824226379395,0.01458215638083926,2
89,"[['fire_hydrant', 'tennis_racket', 'kite'], ['pizza', 'tie'], ['cup']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,COCO,0,92.559814453125,0.014977358951290314,2
90,"[['loc'], ['positive', 'society'], ['entertainment', 'business', 'per']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,30.798912048339844,0.0029378111260849357,2
91,"[['computers'], ['per', 'society', 'science'], ['health'], ['negative']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,24.05524253845215,0.0025182264368624474,2
92,"[['health', 'per'], ['family', 'computers'], ['politics'], ['entertainment']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,32.86004066467285,0.0030291343480240134,2
93,"[['family', 'science', 'negative'], ['positive'], ['education'], ['org']]",CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,tweet,0,51.726579666137695,0.0038775209559062606,2
