,query,NF,preference_type,MOO_method,model_selection,model_ordering,num_pred,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag,actual_cost,actual_f1
77,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.886725245,18,142909075,18.96691322,0.012576231,2,18,0.771
78,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_11', 'bottle': 'model_16', 'chair': 'model_11', 'dining_table': 'model_11', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.896471549,42,705967558,4.00018692,0.001521286,2,42,0.771
79,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",lexicographic,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.886725245,18,142909075,0.999450684,0.00065586,2,18,0.771
80,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_11', 'bottle': 'model_16', 'chair': 'model_11', 'dining_table': 'model_11', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.896471549,42,705967558,4.03881073,0.001551103,2,42,0.771
81,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",lexicographic,"{'person': 'model_71', 'bottle': 'model_71', 'chair': 'model_71', 'dining_table': 'model_71', 'couch': 'model_71'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.801288895,86,135686683,12.99619675,0.008580271,2,82,0.72
82,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",lexicographic,"{'person': 'model_66', 'bottle': 'model_66', 'chair': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.801100599,85,135686683,17.00234413,0.009236396,2,82,0.722
83,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",lexicographic,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.886725245,18,142909075,0.997066498,0.000656283,2,18,0.771
84,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_min_max,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.886725245,18,142909075,11.99769974,0.007425006,2,18,0.771
85,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_min_max,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.886725245,18,142909075,12.96472549,0.007429284,2,18,0.771
86,( person ) & ( bottle | chair ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_min_max,"{'person': 'model_16', 'bottle': 'model_16', 'chair': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'bottle', 'chair', 'dining_table', 'couch']",5,0.886725245,18,142909075,17.99845695,0.011694386,2,18,0.771
